Pontos,Estrategia,Distância,Tempo
5,MUTATION_SELECTION.SWAP,15034.948656951889,0.6365156173706055
10,MUTATION_SELECTION.SWAP,25951.894330134153,2.133725881576538
15,MUTATION_SELECTION.SWAP,34738.113927882245,0.5435225963592529
20,MUTATION_SELECTION.SWAP,44275.54347858782,2.100679874420166
25,MUTATION_SELECTION.SWAP,68863.29284890223,1.6179955005645752
30,MUTATION_SELECTION.SWAP,78056.4347666074,2.2871546745300293
35,MUTATION_SELECTION.SWAP,72326.64886707935,4.73041844367981
40,MUTATION_SELECTION.SWAP,78134.83842493696,3.179612159729004
45,MUTATION_SELECTION.SWAP,84901.52116640075,3.49379563331604
50,MUTATION_SELECTION.SWAP,113111.76489298193,3.3660178184509277
5,MUTATION_SELECTION.INVERSION,15034.948656951889,0.343670129776001
10,MUTATION_SELECTION.INVERSION,31803.706850507147,1.1076927185058594
15,MUTATION_SELECTION.INVERSION,32699.869615525142,0.7061703205108643
20,MUTATION_SELECTION.INVERSION,35243.685228355425,1.5845623016357422
25,MUTATION_SELECTION.INVERSION,42104.08380968774,2.369875907897949
30,MUTATION_SELECTION.INVERSION,53127.76887391165,2.2117557525634766
35,MUTATION_SELECTION.INVERSION,56209.53649343188,3.294771432876587
40,MUTATION_SELECTION.INVERSION,72208.29269959325,1.6565945148468018
45,MUTATION_SELECTION.INVERSION,68193.59751919087,3.540039539337158
50,MUTATION_SELECTION.INVERSION,81857.79557722514,3.8786113262176514
5,MUTATION_SELECTION.INSERTION,15034.948656951889,0.3398759365081787
10,MUTATION_SELECTION.INSERTION,25951.894330134153,1.4945213794708252
15,MUTATION_SELECTION.INSERTION,35820.08646056817,0.8196229934692383
20,MUTATION_SELECTION.INSERTION,42129.30971331183,1.3855583667755127
25,MUTATION_SELECTION.INSERTION,56246.976307736295,1.9113316535949707
30,MUTATION_SELECTION.INSERTION,75379.91113270054,1.9104604721069336
35,MUTATION_SELECTION.INSERTION,67231.99601073403,4.662144184112549
40,MUTATION_SELECTION.INSERTION,70616.5560833031,3.2313921451568604
45,MUTATION_SELECTION.INSERTION,78931.0626582541,3.5604522228240967
50,MUTATION_SELECTION.INSERTION,83708.55248546705,3.8234643936157227
5,MUTATION_SELECTION.ROTATION,15034.948656951889,0.27851057052612305
10,MUTATION_SELECTION.ROTATION,25951.894330134153,0.8908615112304688
15,MUTATION_SELECTION.ROTATION,32699.541292855974,0.8377633094787598
20,MUTATION_SELECTION.ROTATION,40790.25516487895,1.585883378982544
25,MUTATION_SELECTION.ROTATION,41104.71171284256,2.4474453926086426
30,MUTATION_SELECTION.ROTATION,49921.821754235,4.976450443267822
35,MUTATION_SELECTION.ROTATION,60098.586753716816,4.305721759796143
40,MUTATION_SELECTION.ROTATION,61847.31862285896,3.2372190952301025
45,MUTATION_SELECTION.ROTATION,72703.94891352898,3.4769980907440186
50,MUTATION_SELECTION.ROTATION,79757.65549339907,3.8612043857574463
5,MUTATION_SELECTION.NON_ADJACENT_SWAP,15034.948656951889,0.2369072437286377
10,MUTATION_SELECTION.NON_ADJACENT_SWAP,25951.894330134153,0.34923410415649414
15,MUTATION_SELECTION.NON_ADJACENT_SWAP,35265.16168771582,0.9653663635253906
20,MUTATION_SELECTION.NON_ADJACENT_SWAP,40422.58203277936,0.9089310169219971
25,MUTATION_SELECTION.NON_ADJACENT_SWAP,53204.87244525687,1.051330804824829
30,MUTATION_SELECTION.NON_ADJACENT_SWAP,64035.39370462111,2.9049181938171387
35,MUTATION_SELECTION.NON_ADJACENT_SWAP,84940.601732779,2.422344446182251
40,MUTATION_SELECTION.NON_ADJACENT_SWAP,82229.3768421793,2.6109495162963867
45,MUTATION_SELECTION.NON_ADJACENT_SWAP,84962.80335096295,3.5183677673339844
50,MUTATION_SELECTION.NON_ADJACENT_SWAP,99984.60043854249,3.7736754417419434
5,MUTATION_SELECTION.SCRAMBLE,15034.948656951889,0.5960080623626709
10,MUTATION_SELECTION.SCRAMBLE,32780.06935197899,0.6390230655670166
15,MUTATION_SELECTION.SCRAMBLE,39178.62640167367,1.1741607189178467
20,MUTATION_SELECTION.SCRAMBLE,41121.496647100736,1.3651955127716064
25,MUTATION_SELECTION.SCRAMBLE,46226.863682169176,2.7198028564453125
30,MUTATION_SELECTION.SCRAMBLE,85749.16780733588,3.031450033187866
35,MUTATION_SELECTION.SCRAMBLE,68813.18672008184,2.5116705894470215
40,MUTATION_SELECTION.SCRAMBLE,115666.85638162793,1.7865288257598877
45,MUTATION_SELECTION.SCRAMBLE,107844.26016366333,2.194765090942383
50,MUTATION_SELECTION.SCRAMBLE,122759.41664295687,3.1629586219787598
5,MUTATION_SELECTION.CIRCULAR_SHIFT,15034.948656951889,0.9993100166320801
10,MUTATION_SELECTION.CIRCULAR_SHIFT,25951.894330134153,0.42423009872436523
15,MUTATION_SELECTION.CIRCULAR_SHIFT,36234.80225029862,0.9251267910003662
20,MUTATION_SELECTION.CIRCULAR_SHIFT,39062.45994804924,0.7216200828552246
25,MUTATION_SELECTION.CIRCULAR_SHIFT,64872.375535391344,1.9175128936767578
30,MUTATION_SELECTION.CIRCULAR_SHIFT,66675.63057221683,2.1852903366088867
35,MUTATION_SELECTION.CIRCULAR_SHIFT,79523.27534441435,2.9251506328582764
40,MUTATION_SELECTION.CIRCULAR_SHIFT,79244.8372821511,3.241898775100708
45,MUTATION_SELECTION.CIRCULAR_SHIFT,80480.07317112663,3.602292537689209
50,MUTATION_SELECTION.CIRCULAR_SHIFT,100809.0976939294,3.867699384689331
